Question,Answer
How will the transition process ensure continuity of services to Kenyans?,"The SHI Regulations provide that all paid-up members and running contracts with NHIF will run until June 30th, 2024, and the SHA will take over with the new rates and benefits at 1st July 2024, hence no services will be disrupted."
What happens to contributions paid in advance by Self Employed persons if the means testing determine their rates to be lower or higher than ksh 500?,"The SHA will inform the beneficiary of the difference between what is paid and the difference which is supposed to be topped up for the year if less than the required premium, or roll over to the subsequent year if in surplus."
How will the healthcare contracts be seamlessly transitioned in view of the new benefit package?,New contracts under SHA will be issued to empaneled healthcare providers under section 33(3) of the SHI Law 2023.
Will we remain our Regional/branch Network?,Branch and Regional Network will be determined by the requirements of the SHI under the SHA Act 2023.
Will there be rebranding of the new entities once they come on board?,The Boards of each entity established under the UHC Laws will develop their own distinct brands according to needs.
What happens to the ICT infrastructure?,"The current infrastructure automatically changes ownership to the SHA Board, and retention of the same will be on needs basis. For retiring infrastructure, Public Procurement and Assets Disposal Act provisions will be used for disposing them off."
How will staff be affected by the transition process?,SHA will recruit their own staff in line with the approved organizational establishment. 6(3) allows NHIF qualified staff to apply for declared vacancies. 6(4) will have staff undergo a process to gauge their suitability and thereby transition to SHA on a priority basis. 5(a)(b) allows staff to retire or be redeployed elsewhere in the public services respectively.
What happens to staff who will not be absorbed by the SHA?,The law and ILO procedures allow that no current employees of NHIF will be disadvantaged during the transition process. Hence those who will not be absorbed by the SHA will either transit to the public service or retire willingly.
"In the event that SHA remuneration package is lower than that of NHIF, how will this impact the transitioned staff?",The employment and labour laws are very clear on this. The salary of the employees under SHA will be binding as it is a newly established legal entity.
What becomes of the staff pension contributions for staff who transition to SHA and those who are deployed to other Public Service sectors?,Matters of pension are highly regulated under Retirement Benefits Authority (RBA) and continuity on scheme contributions and benefits will not be lost by NHIF staff during transition.
Will the union be fully involved in the transition process?,Unions will be involved during transition by both the Transition Committee and NHIF and SHA boards. Non-unionized officers of NHIF will also be represented and their concerns taken care of.
Will there be forced exits?,"Under the SHI Act, there is no provision for forced retirement."
What is Primary Health Care?,"It is essential health care based on practical, scientifically sound and socially acceptable methods and technology that is made universally accessible to individuals and families in the community."
What is Primary Health Care Fund?,The fund shall be used to purchase primary healthcare services from health facilities.
Who is eligible to access the Primary Healthcare Fund?,All persons residing in Kenya.
How will I register for the Primary Healthcare Fund?,Registration for Social Health Insurance will be an automatic registration for the Primary Healthcare Fund.
Will I have to contribute to the Primary Healthcare Fund? What other sources of funds are there?,"No, there will be no individual contributions to the Primary Healthcare Fund. The main source of funding will be allocation from the government and grants."
When will I use the Primary Healthcare Fund?,"When visiting level 2,3 facilities or upon referral by community health promoters, where patients will be treated for free."
What is the maximum amount the Primary Healthcare Fund can cover?,The expenditure incurred on the fund shall be limited to annual budget estimates prepared by the authority at the beginning of the financial year to which they relate.
"What is the Emergency, Chronic and Critical Illness Fund?",This is a fund established to provide money to pay the costs of management of chronic illnesses after depletion of the SHI over and to cover the costs of emergency treatment.
"Who will be eligible to register to the Emergency, Chronic and Critical Illness Fund?","An individual registered to the Social Health Authority will be able to access medical services under the Emergency, Chronic and Critical Illness Fund."
"When will I start benefiting from the Emergency, Chronic and Critical Illness Fund?",Upon lapsing of an individual’s benefit limits under the Social Health Insurance Fund.
"How will my benefit package look like in the Emergency, Chronic and Critical Illness Fund?",The healthcare services specified in the essential benefits package provided in the fourth schedule of the SHI Regulations 2024.
"Which institution will be responsible for management of the Emergency, Chronic and Critical Illness Fund?",The Social Health Authority has been established for the management of Social Health Insurance in Kenya. The expenditure incurred on the Fund shall be limited to annual budget estimates prepared by the Authority at the beginning of the financial year to which they relate.
Who will be eligible to register for SHA?,Every Kenyan as well as non-Kenyans residing in Kenya is eligible and will be required to register.
Do I need to register afresh as an SHA member if I was already an NHIF member?,Yes.
Will there be any costs associated with registering afresh?,None.
Can individuals choose not to be part of social health insurance?,No. It is a mandatory requirement.
Will NHIF members automatically transition to be SHA members? What of the payments that were already paid by members?,"NHIF members will have to register afresh with SHA. Regarding already paid contributions, the Transition Committee will provide the detailed guidelines but it is expected that there shall not be any problem between the transitions of current contributions to the new means testing- generated contribution rates."
How will I register for SHI?,"The application shall be made by filling SHA form and shall be accompanied by: (a) a copy of the national identification document of the applicant; or (b) in the case of a person without a national identification document, any other document as may be approved by the authority."
"How do I add dependents, and are there limits on the number of children?",Dependents will be declared during registration and those born after registered within 14 days after birth. There will be no limits to the number of children under a contributor.
Does it cover more than one wife?,"Yes, the SHI Act provides for more than one spouse provided that the total income of all spouses and members is captured for purposes of premium determination."
"If registration is per household, does it mean only one spouse contributes?","The decision of the person within the household to contribute premiums will be decided by the household members for the case of non-salaried members, and will be deducted from each salaried member if under salaried employment."
What happens to the dependents if a member passes on?,The member is required to notify the Social Health Authority in case of a demise of a dependent or contributor's demise accompanied by the death notification documents.
What happens to the current biometric that are captured?,All members will be required to register and get their biometrics taken afresh when the SHI kicks in.
Who will be the contributors to Social Health Authority?,"Every Kenyan household, a non-Kenyan resident, ordinarily residing in Kenya for a period exceeding 12 months, the national government, county governments, and any other employer/donor can contribute to the SHA."
How will I contribute to SHA?,"In the case of a household whose income is derived from salaried employment, by a monthly statutory deduction from the wages or salary by the employer. In the case of a household whose income is derived from informal employment, an annual advance contribution will be made to the SHA."
How much will I contribute to SHA?,The rate of contributions is 2.75% of individual and household income.
"Concerning the 2.75%, what happens when the two heads of a household have separate incomes?",The combined income for multiple members of a household will be subjected to the 2.75% contribution based on the combined income.
"If both spouses are employed, are both required to make monthly contributions?",Yes.
Who is required to pay the minimum contribution of Kes300 per month?,Those whom the means testing tool determine to fall in or below contributions of Ksh 300 will contribute the base premium of Ksh 300. The government will contribute for those who apply for subsidy if falling below this threshold.
Is there an option for capping the deductions?,Deductions are not capped.
How will the determination of income for the informal sector be done?,Means Testing will be used to determine proxy income based on expenditure patterns.
Should members wait until means testing is conducted to make contributions?,"For salaried employees, contributions will be based on their salaried income. However, for non-salaried income earners, contributions will only be determined using the means testing hence payment will be after means testing."
"If someone transitions or there is a change of income, who is responsible for determining the contribution? What is the reporting mechanism?",The contributor will be required to notify the Social Health Authority on any change in income and they will be informed of the new contribution rates by the authority.
"Are Kenyans contributing to all three Funds, and how do these contributions work?","No. The Primary Healthcare Fund and the Emergency Chronic and Critical Illness Fund will be publicly funded through government budget allocations and available to registered SHA members, while direct contributions will be made to the Social Health Insurance Fund."
How many times will I contribute to SHI?,"For salaried/payroll employment households, monthly contributions; For non-payroll households whose income is not derived from salary, by an annual contribution as determined by the means testing instrument."
Will services be accessible if I lose employment? (Formal vs Informal),"No, as long as the authority is notified and new contribution arrangements agreed and honored by the contributors."
Is insurance premium financing available for those who cannot afford consistent payments?,"Premium financing will be available for those who want to access it in the non-salaried segment. For affordability, the Authority will determine and attach only premiums which the contributor can afford."
Can cooperative societies join SHA as groups and make base minimum contributions?,"Yes, this is possible."
What if I am unable to pay/contribute to SHI?,"In the case of households in need of financial assistance as determined by the means testing instrument, the government will subsidize at a rate apportioned from funds appropriated by Parliament and County Assemblies for that purpose."
Which facilities will be contracted and empaneled by SHA?,A health care provider or a health facility seeking to be contracted under the Social Health Insurance Fund shall make an application to the body responsible for accreditation for quality assurance in the manner prescribed by the regulations.
How will I know which facilities or providers around a given area of residence will be covered by SHA?,"The authority shall, publish on its website and in such other manner as the Authority may deem appropriate, declare the health service providers and healthcare facilities to be contracted for."
What happens to my current contributions to NHIF?,All contributions made will be transferred to the Social Health Authority.
Can I choose my healthcare providers and facilities under SHA?,Yes.
How will SHA benefit low-income and vulnerable populations and PLWD?,"In the case of households in need of financial assistance as determined by the means testing instrument, by the government at a rate apportioned from funds appropriated by Parliament and County Assemblies."
Are there penalties for defaulters and/or late payment?,Any person who fails to pay any contribution in respect of any period on or before the day on which payment is due shall be liable to a penalty equal to two percent (2%) of the amount due of the contribution for the period in which the contribution remains unpaid and the total annual contributions.
How do I pay penalties?,The SHA board will provide guidance on how members will pay penalties.
Can I get refunded if I do not utilize my contribution?,No. Premiums from all contributors will be pooled and utilized to pay health services for those who are in need of them.
Can I take a private health insurance cover?,"Yes, a beneficiary of the fund can still register for private insurance as complementary to the Social Health Insurance."
"For civil servants including HCWs, what will happen to their enhanced scheme?",All Kenyans will be entitled to the same benefit package irrespective of their place and nature of work. Payments will be pegged on income hence transitioning from wage employment to pension will pay the prescribed rate for the same benefit package.
Are civil servants cushioned to seek services from private facilities?,"SHA benefits can be accessed in all types of facilities; Public, private, and FBO. Enhanced covers can be provided by the employer on top of the SHA benefits."
What will happen to the school children who were covered under Edu Afya?,The children will be covered under SHA as beneficiaries of their households.
What is the package for those who opt to retire/exit public service?,All Kenyans will be entitled to the same benefit package irrespective of their place and nature of work. Payments will be pegged on income hence transitioning from wage employment to pension will pay the prescribed rate for the same benefit package.
Will SHA cover travel health insurance?,No.
When will I use my Social Health Insurance Fund?,"When referred to a level 4, 5, or 6 facility or an empaneled healthcare provider."
How will my benefit package look like in SHA?,A schedule of benefits attributable to each member of the SHA will be published and made available to each member as provided.
How do the SHA benefits compare with the NHIF benefits?,"SHA benefits are more enhanced, explicit and expansive compared to the previous NHIF benefits."
How can additional services be added to the Essential Benefits Package?,The SHI Act Regulations provides for a form for interested parties to make an appeal to the Benefits and Tariffs Authority to be considered for inclusion or exclusion.
What happens to retired civil servants under SHA?,"Like other Kenyans, they will be new retirees and will need to notify SHA of the change in income and hence will be informed of the new premiums and modalities of paying for them."
How does the Essential Benefits Package impact premiums?,"Change in the benefit package will automatically have impact on the amount of funds required to fund the new package, and hence the premiums attributable to each household will change accordingly."
How does one get to know what tariffs are in use?,Tariffs are published in the Regulations Schedule.
Which facilities will one access the SHA services? (Where do I access services?),Health Providers contracted by SHA.
Is there a waiting period to access services?,No waiting period.
Can one receive PHC services in referral hospitals?,"No, only facilities contracted to offer PHC services will offer such services, basically in the category of Levels 2, 3, and 4."
What happens when one falls sick when far from the selected facility?,"Levels 2-3 services will be sought within the assigned Network (PCN), and there will be mechanisms for one PCN to reimburse for a member who accesses services in another PCN not assigned to, but within limits of the member's PCN. Levels 4-6 will be accessed through a robust referral system from one level to another."
There is a need for measures to enhance the quality of care. Including the role of counties in preventive services,The Quality-of-Care Bill is underway to optimize service delivery and assure quality of health services.
Where should providers claim payment of pending bills?,"SHA has absorbed all NHIF liabilities, therefore providers should claim from SHA."
What will be the role of SHA in ensuring commodities are available in healthcare facilities?,"SHA will reimburse healthcare providers based on the service provided including medicines and procedures, and the service providers have a responsibility of ensuring they have capacity to offer the same."
How can individuals in Kenya file complaints or seek assistance under Social Health Authority?,The Social Health Authority will develop a complaint resolution mechanism in line with guidelines of the Mwongozo code of governance for state corporations.
Which takes precedence between procurement tribunal and SHA tribunal in procurement disputes when contracting and empanelment?,The Public Procurement Tribunal as provisioned takes precedence for all public procurements as defined in the Public Procurement and Assets Disposal Act.
